;EMAshort;EMAlong;AD;KAMA;MACD;TRIX
Canada;15,0;40,0;85,0;100,0;30,0;30,0
USA;10,0;100,0;15,0;90,0;30,0;40,0
France;5,0;60,0;35,0;30,0;30,0;90,0
Germany;5,0;160,0;85,0;60,0;30,0;20,0
UK;20,0;80,0;5,0;100,0;30,0;30,0
Australia;20,0;60,0;85,0;80,0;30,0;20,0
Hong Kong;10,0;80,0;85,0;100,0;30,0;40,0
Japan;5,0;40,0;5,0;50,0;30,0;60,0
Belgium;15,0;120,0;25,0;90,0;30,0;80,0
Switzerland;5,0;120,0;45,0;80,0;30,0;100,0
Poland;5,0;40,0;75,0;30,0;30,0;30,0
Russia;20,0;40,0;55,0;40,0;30,0;20,0
South Africa;20,0;40,0;5,0;90,0;30,0;80,0
China;5,0;40,0;5,0;60,0;30,0;30,0
India;10,0;40,0;35,0;30,0;30,0;20,0
South Korea;10,0;100,0;35,0;100,0;30,0;80,0
Greece;20,0;160,0;5,0;100,0;30,0;40,0
Brazil;10,0;100,0;55,0;100,0;30,0;20,0
Hungary;20,0;80,0;55,0;100,0;30,0;60,0
Czech Republic;5,0;100,0;5,0;70,0;30,0;40,0
