;SharpeRatio;BestOptionStrategyNum;FAThreshold;FATypeNum
Canada;0,13520829074253018;4,0;1,6420249999999998;PBT2
USA;0,4752520763353401;0,0;14,812125;PET2
France;0,15572038981649713;4,0;1,036625;PST3
Germany;0,5799107168011615;0,0;1,5718;PBT1
UK;0,3136822004643675;5,0;1,09995;PST4
Australia;0,4315535817240283;4,0;2,035475;PBT4
Hong Kong;0,38643096144494465;5,0;1,827;PST1
Japan;0,711545272580473;0,0;0,9221999999999999;PST2
Belgium;0,26910710395968035;4,0;1,6148;PST4
Switzerland;0,2753049758731335;4,0;1,4815;PBT1
Poland;0,2058503826566835;4,0;0,8193;PST3
Russia;0,18145155051146158;0,0;5,03945;PET3
South Africa;0,3412574436608955;0,0;2,40355;PBT2
China;0,26590171741727964;0,0;18,219450000000002;PET2
India;1,1081284599508998;0,0;22,2397;PET2
South Korea;0,3789365451782115;4,0;0,917825;PBT4
Greece;0,004542632561473969;0,0;0,58655;PBT3
Brazil;0,9863883932026464;4,0;1,241475;PBT4
Hungary;1,452171603570068;4,0;1,28345;PBT3
Czech Republic;0,14572619869702633;4,0;1,09595;PBT1
