;SharpeRatio;BestOptionStrategyNum
Canada;-0,005920128487006313;4
USA;0,3332331571250485;0
France;0,04672855166571697;6
Germany;0,47114834219491636;6
UK;0,1910749193907508;6
Australia;0,17967528565138585;6
Hong Kong;0,2366938044728707;5
Japan;0,5558825295909798;4
Belgium;0,16711523956553997;6
Switzerland;0,1618350962221787;6
Poland;0,09749037990322582;4
Russia;0,16489453313857652;4
South Africa;0,16901999903613135;6
China;-0,1376484077498718;0
India;1,0071300676693111;4
South Korea;0,3014233699742153;4
Greece;-0,16988947309211602;0
Brazil;1,013271558488559;4
Hungary;1,2909731770097508;6
Czech Republic;0,0363822481035557;4
